mineradora,municipio,uf,id,lat,lng
Mosaic,Anitápolis,SC,4201109,-27.9012,-49.1316
Mosaic,Araxá,MG,3104007,-19.5902,-46.9438
Itafos,Arraias,TO,1702406,-12.9287,-46.9359
EDEM Agrominerais,Bonito,MS,5002209,-21.1261,-56.4836
Mosaic CMOC,Catalão,GO,5205109,-18.1656,-47.9440
Fosforita Olinda,Igarassu,PE,2606804,-78.2881,-34.9013
Fosnor Galvani,Irecê,BA,2914604,-11.3033,-41.8535
BEMISA,Jauru,MT,5105002,-15.3342,-58.8723
Socal Mineração,Juquiá,SP,3526100,-24.3101,-47.6426
Fosnor Galvani,Lagamar,MG,3137106,-18.1759,-46.8063
CPRM,Sapé,PB,2515302,-70.9359,-35.2280
Geofoscal,Natividade,TO,1714203,-11.7034,-47.7223
Fosforita Olinda,Olinda,PE,2609600,-80.1017,-34.8545
Mosaic,Patos de Minas,MG,3148004,-18.5699,-46.5013
Mosaic,Patrocínio,MG,3148103,-18.9730,-46.9934
Curimbaba,Poços de Caldas,MG,3151800,-21.7883,-46.5692
Mineração Morro Azul,Pratápolis,MG,3152907,-20.7411,-46.8624
Mineração Morro Verde,Pratápolis,MG,3152907,-20.7411,-46.8624
Nexon Mineraçã,Presidente Olegário,MG,3153400,-18.4096,-46.4165
Terra Brasil Fertilizantes,Presidente Olegário,MG,3153400,-18.4096,-46.4165
Yara Brasil,Serra do Salitre,MG,3166808,-19.1083,-46.6961
Mosaic,Serra Negra,SP,3551603,-22.6139,-46.7033
Mosaic,Tapira,MG,3168101,-19.9166,-46.8264
Aguia Resources,Rio Grande,RS,4315602,-32.0349,-52.1071
